,company_name,company_ticker
116,"Aixtron SE ADS, Each Representing One Ordinary Share",AIXG
117,Akazoo SA,SONG
118,Akebia Therapeutics Inc,AKBA
119,Akela Pharma Ord (MM),AKLA
120,Akero Therapeutics Inc,AKRO
121,Akorn Inc,AKRX
122,Akoustis Technologies Inc,AKTS
123,Akumin Inc,AKU
124,Alabama Natl Bancorp (MM),ALAB
125,Alamosa Holdings  (MM),APCS
126,Alarm com Holdings Inc,ALRM
127,"Albany Molecular Research, Inc.",AMRI
128,"Albemarle First Bank (Charlottesville, VA) (MM)",AFBKW
129,Albireo Pharma Inc,ALBO
130,"Alco Stores, Inc. (MM)",DUCK
131,Aldeyra Therapeutics Inc,ALDX
132,Alerus Financial Corporation,ALRS
133,Algoma Steel Group Inc,ASTL
134,Align Technology Inc,ALGN
135,Aligos Therapeutics Inc,ALGS
136,Alithya Group inc,ALYA
137,Alkami Technology Inc,ALKT
138,Alkido Pharma Inc,AIKI
139,Allakos Inc,ALLK
140,"Allegiance Telecom, (MM)",ALGX
141,Allegro Merger Corporation,ALGR
142,Allena Pharmaceuticals Inc,ALNA
143,Alliance Bankshares Corp. (MM),ABVA
144,"Alliance Fiber Optic Products, Inc.",AFOP
145,"Alliance Holdings GP, L.P.  Representing Limited Partner Interests (delisted)",AHGP
146,Allied Esports Entertainment Inc,AESE
147,Allied Healthcare Products Inc,AHPI
148,Allion Healthcare (MM),ALLI
149,AlloVir Inc,ALVR
150,"Allos Therapeutics, Inc. (MM)",ALTH
151,Alloy  (MM),ALOYD
152,Allscripts Healthcare Solutions Inc,MDRX
153,Allstream (MM),ALLSA
154,Almost Family (delisted),AFAM
155,Alpha Capital Acquisition Company,ASPC
156,Alpha Healthcare Acquisition Corporation III,ALPA
157,Alpha Teknova Inc,TKNO
158,Alphabet Inc,GOOGL
159,Alphasmart (MM),ALSM
160,Alpine 4 Holdings Inc,ALPP
161,Alpine Immune Sciences Inc,ALPN
162,Alta Mesa Resources Inc,AMR
163,Altaba Inc,AABA
164,Altair Nanotechnologies Inc. (MM),ALTID
165,Alterra Capital Holdings Limited (MM),ALTE
166,Altimeter Growth Corporation,AGC
167,Altisource Portfolio Solutions S.A. (MM),ASPSV
168,Altitude Acquisition Corporation,ALTU
169,Alto Ingredients Inc,PEIX
170,Altra Industrial Motion Corporation,AIMC
171,Altus Midstream (delisted),KAAC
172,Alzamend Neuro Inc,ALZN
173,Amalgamated Financial Corporation,AMAL
174,Ambac Financial Group Inc,AMBC
175,Ambassadors International (MM),AMIED
176,Amc Networks Inc. (MM),AMCXV
177,Amcor Limited ADS (MM),AMCR
178,Amdocs Ltd,DOX
179,Amer Bio Medica Corp Wts (MM),ABMCW
180,Amer Medical Sys Hldgs (MM),AMMD
181,Amerant Bancorp Inc,AMTB
182,Ameri Holdings Inc,AMRH
183,America Service Grp. Inc. (MM),ASGR
184,American Acquisition Opportunity Inc,AMAO
185,American Bancorp N J (MM),ABNJ
186,American Beacon Ipm Systematic Macro Fund - Ultra Class,IPMUX
187,American Commercial Lines (MM),ACLI
188,"American Dental Partners, Inc. (MM)",ADPI
189,American Electric Power Company Inc,AEP
190,American Financial Trust Inc,AFIN
191,American Italian Pasta (MM),AIPC
192,American Medical Alert Corp. (MM),AMAC
193,American Mold Guard CL A Wrt (MM),AMGIW
194,American National Bankshares Inc,AMNB
195,American Outdoor Brands Corporation,AOBC
196,American Outdoor Brands Inc,AOUT
197,American Pacific Corp. (MM),APFC
198,American Public Education Inc,APEI
199,American Resources Corporation,AREC
200,"American Science And Engineering, Inc.",ASEI
201,American Superconductor Corp,AMSC
202,American Virtual Cloud Technologies Inc,AVCT
203,Americas Car Mart Inc,CRMT
204,Ameris Bancorp,ABCB
205,Ameritrans Cap Corp 4/18/07 (MM),AMTCW
206,Amesite Inc,AMST
207,Amicas (MM),AMCS
208,Amis Holdings (MM),AMIS
209,Ampex Corp Class A (MM),WHUN
210,Amphastar Pharmaceuticals Inc,AMPH
211,Amplitude Healthcare Acquisition Corporation,AMHC
212,Amplitude Inc,AMPL
213,Amtech Systems Inc,ASYS
214,"Amylin Pharmaceuticals, Inc. (MM)",AMLN
215,"Anacor Pharmaceuticals, Inc.",ANAC
216,Analog Devices Inc,ADI
217,Analysts International (MM),ANLYD
218,AnaptysBio Inc,ANAB
219,Anavex Life Sciences Corporation,AVXL
220,Anchor Bancorp (delisted),ANCB
221,Anchor Glass Container  (MM),AGCC
222,Andina Acquisition Corporation III,ANDA
223,Andrx,ADRX
224,Angel Oak Fds TR High Yield Opportunities FD CL A (MM),RIMYX
225,Angi Inc,ANGI
226,Angion Biomedica Corporation,ANGN
227,Anglo American Plc (MM),AAUKD
228,Anixa Biosciences Inc,ANIX
229,Annexon Inc,ANNX
230,Ansell Limited ADS (MM),ANSL
231,Answers Corp. (MM),ANSW
232,Antelope Enterprise Holdings Ltd,AEHL
233,Anthemis Digital Acquisitions I Corporation,ADALU
234,Apellis Pharmaceuticals Inc,APLS
235,Apex Technology Acquisition Corporation,APXT
236,Aphria Inc,APHA
237,Api Technologies Corp.,ATNY
238,Apogee Enterprises Inc,APOG
239,Apollo Endosurgery Inc,APEN
240,Apollo Investment Corporation,AINV
241,App Pharmaceuticals (MM),APPX
242,AppHarvest Inc,APPH
243,Apple Inc,AAPL
244,Applied DNA Sciences Inc,APDN
245,Applied Digital Solutions  (MM),ADSXD
246,Applied Genetic Technologies Corporation,AGTC
247,Applied Innovation (MM),AINN
248,Applied Micro Circuits  (MM),AMCCD
249,"Applied Molecular Evolution, (MM)",AMEV
250,Applied Optoelectronics Inc,AAOI
251,Applied Therapeutics Inc,APLT
252,Applix (MM),APLX
253,Approach Resources Inc,AREX
254,Aprea Therapeutics Inc,APRE
255,"Apricus Biosciences, Inc.",APRI
256,Aptevo Therapeutics Inc,APVO
257,Aptorum Group Ltd,APM
258,Apyx Medical Corporation,APYX
259,AquaBounty Technologies Inc,AQB
260,Aquestive Therapeutics Inc,AQST
261,ArQule Inc,ARQL
262,Aravive (delisted),VSAR
263,Arbe Robotics Ltd,ARBE
264,Arbinet Corp. (MM),ARBXD
265,Arbutus Biopharma Corporation,ABUS
266,"Arc Grp. Worldwide, Inc. (MM)",ARCWD
267,ArcLight Clean Transition Corporation,ACTC
268,Arcadia Biosciences Inc,RKDA
269,Archimedes Tech SPAC Partners Company,ATSPT
270,"Archrock Partners, L.P.  Representing Limited Partner Interests (delisted)",APLP
271,Arco Platform Ltd,ARCE
272,Arcturus Therapeutics Holdings Inc,ARCT
273,"Ardea Biosciences, Inc. (MM)",RDEA
274,Arden Grp. - Class A (MM),ARDNA
275,Arena Pharmaceuticals Inc,ARNA
276,Ares Capital Corporation,ARCC
277,"Argo Grp. International Holdings, Ltd. (delisted)",AGII
278,"Ariad Pharmaceuticals, Inc.",ARIA
279,"Ariba, Inc. (MM)",ARBA
280,Aries I Acquisition Corporation,RAM
281,Ark Restaurants Corporation,ARKR
282,"Arm Holdings, Plc ADS (MM)",ARMHY
283,Arotech Corporation,ARTX
284,Arowana Inc. - Ordinary Shares,ARWA
285,Arowana Inc. - Warrant,ARWAW
286,Array Technologies Inc,ARRY
287,Arrival,ARVL
288,Arrow Intl (MM),ARRO
289,Arrowhead Pharmaceuticals Inc,ARWR
290,Arrowhead Research Corp. (MM),ARWRD
291,"Arsanis, Inc.",ASNS
292,Artelo Biosciences Inc,ARTL
293,Artesian Resources Corporation,ARTNA
294,Arthrocare Corp. (MM),ARTC
295,Artisan Acquisition Corporation,ARTAU
296,Arts Way Manufacturing Co Inc,ARTW
297,Asat Hldg Ltd American Dep (MM),ASTT
298,"Asb Bancorp, Inc.",ASBB
299,Ascena Retail Group Inc,ASNA
300,Ascent Media - Series A Common Stock (MM),ASCMV
301,Ascent Solar Technologies  (MM),ASTIW
302,Ascential Software - Common Stock (MM),ASCL
303,Ashworth (MM),ASHW
304,Asia Pacific Wire and Cable Corporation Ltd,APWC
305,Ask Jeeves  (MM),ASKJ
306,Aspect Medical Systems (MM),ASPM
307,Aspen Technology Inc,AZPN
308,Aspira Womans Health Inc,AWH
309,Assembly Biosciences Inc,ASMB
310,Asset Acceptance Capital Corp. (MM),AACC
311,Assure Holdings Corporation,IONM
312,Astec Industries Inc,ASTE
313,Asthmatx (MM),AZMA
314,Astrea Acquisition Corporation,ASAX
315,AstroNova Inc,ALOT
316,Astrotech Corporation,ASTC
317,Atara Biotherapeutics Inc,ATRA
318,Atea Pharmaceuticals Inc,AVIR
319,"Athenahealth, Inc.",ATHN
320,Atherogenics (MM),AGIX
321,Athersys Inc,ATHX
322,Athlon Acquisition Corporation,SWET
323,Atlantic Acquisition Corp. - Right (delisted),ATACR
324,Atlantic Alliance Partnership Corp. - Ordinary Shares,AAPC
325,Atlantic Bancgrp. (MM),ATBC
326,Atlantic Coast Airlines Holdings (MM),ACAI
327,Atlantic Coast Financial Corp. (delisted),ACFC
328,Atlantic Data Services (MM),ADSC
329,Atlantic Union Bankshares Corporation,AUB
330,Atlanticus Holdings Corporation,ATLC
331,Atlas Air Worldwide Holdings,AAWW
332,Atlas Financial Holdings Inc,AFH
333,Atlas Technical Consultants Inc,ATCX
334,Atmel Corp.,ATML
335,Atomera Incorporated,ATOM
336,Atp Oil & Gas Corp. (MM),ATPG
337,AtriCure Inc,ATRC
338,Attis Industries Inc,ATIS
339,Auburn National Bancorporation Inc,AUBN
340,Audentes Therapeutics Inc,BOLD
341,AudioCodes Ltd,AUDC
342,Augmedix Inc,AUXG
343,Aurinia Pharmaceuticals Inc,AUPH
344,Aurora Acquisition Corporation,AURC
345,Australia Acq Corp (MM),AACOU
346,"Authentec, Inc. (MM)",AUTH
347,AutoWeb Inc,AUTO
348,Autochina International Limited - Unit (Cayman Islands) (MM),AUTCU
349,Autodesk Inc,ADSK
350,Autoscope Technologies Corporation,AATC
351,"Avadim Health, INC.",AHI
352,Avalon GloboCare Corporation,AVCO
353,Avanex  (MM),AVNXD
354,Avant Immunotherapeutics  (MM),AVAND
355,Avatar Holdings Inc. (MM),AVTR
356,Aveanna Healthcare Holdings Inc,AVAH
357,"Avenue Financial Holdings, Inc.",AVNU
358,"Avexis, Inc. (delisted)",AVXS
359,Avici Systems Inc.  (MM),AVCI
360,Avid Technology Inc,AVID
361,Avidity Biosciences Inc,RNA
362,Avinger Inc,AVGR
363,Avista Public Acquisition Corporation II,AHPAU
364,Aviza Tech (MM),AVZA
365,Aware Inc,AWRE
366,Axar Acquisition Corp. - Warrants,AXARW
367,Axcelis Technologies Inc,ACLS
368,Axogen Inc,AXGN
369,Axon Enterprise Inc,AXON
370,Axonics Inc,AXNX
371,Axos Finl (delisted),BOFI
372,Axovant Gene Therapies Ltd,AXGT
373,Axsys Technologies (MM),AXYS
374,Aziyo Biologics Inc,AZYO
375,A Mark Precious Metals Inc,AMRK
376,"A V Homes, Inc. (delisted)",AVHI
377,A-Power Energy Generation Sys (MM),APWRW
378,"A123 Systems, Inc. (MM)",AONE
379,AB Volvo  (MM),VOLV
380,ABIOMED Inc,ABMD
381,ABRI SPAC I Inc,ASPAU
382,AC Immune SA,ACIU
383,ACI Worldwide Inc,ACIW
384,ACNB Corporation,ACNB
385,ACV Auctions Inc,ACVA
386,ADOMANI Inc,ADOM
387,ADiTx Inc,ADTX
388,AEye Inc,LIDR
389,AFC Gamma Inc,AFCG
390,AGM Group Holdings Inc,AGMH
391,ALFI Inc,ALF
392,ALJ Regional Holdings Inc,ALJJ
393,AMAG Pharmaceuticals Inc,AMAG
394,AMCI Acquisition Corporation II,AMCI
395,"AMERIQUEST, INC.",AMQ
396,AMMO Inc,POWW
397,ANSYS Inc,ANSS
398,APPDYNAMICS INC,APPD
399,ARKO Corporation,ARKO
400,ARYA Sciences Acquisitioin Corporation V,ARYE
401,ARYA Sciences Acquisition Corporation IV,ARYD
402,ARYA Sciences Acquistion Corporation III,ARYA
403,ASV Holdings Inc,ASV
404,ATIF Holdings Ltd,ATIF
405,ATRION Corporation,ATRI
406,AVROBIO Inc,AVRO
407,AYRO Inc,AYRO
408,Aadi Bioscience Inc,AADI
409,AbCellera Biologics Inc,ABCL
410,"Abaxis, Inc. (delisted)",ABAX
411,Aber Diamond  (MM),ABER
412,Abigail Adams National Bancorp (MM),AANB
413,Abington Bancorp (MM),ABBK
414,"Abington Bancorp, Inc. (MM)",ABBC
415,Ablynx NV ADS (delisted),ABLX
416,Abraxas Petroleum Corporation,AXAS
417,Abraxis Bioscience Inc. (MM),ABII
418,Abx Holdings  (MM),ABXA
419,Acacia Research Technologies,ACTG
420,Acadia Healthcare Company Inc,ACHC
421,Acamar Partners Acquisition Corporation,ACAM
422,Accelerate Diagnostics Inc,AXDX
423,Accelerated Pharma Warrant (MM),ACCPW
424,"Accelrys, Inc. (MM)",ACCL
425,Access Integrated Technologies  (MM),AIXD
426,Access Plans Usa (MM),AUSA
427,Acclaim Entertainment (MM),AKLM
428,Accredited Home Lenders(Ipo) (MM),LEND
429,Accuray Incorporated,ARAY
430,Ace Comm Corp (MM),ACEC
431,Ace Global Business Acquisition Ltd,ACBA
432,Acer Therapeutics Com USD0.01,OPXA
433,Acer Therapeutics Inc. - Warrant (delisted),ACERW
434,Acergy S.A. - Ads Representing One Common Share (MM),ACGY
435,Achillion Pharmaceuticals Inc,ACHN
436,Ackrell SPAC Partners I Company,ACKIT
437,Aclaris Therapeutics Inc,ACRS
438,Acorda Therapeutics Inc,ACOR
439,Act II Global Acquisition Corporation,ACTT
440,Active Alts Contrarian Etf (delisted),SQZZ
441,Activision Blizzard Inc,ATVI
442,Actuate Corporation (MM),ACTU
443,AcuityAds Holdings Inc,ATY
444,Acurx Pharmaceuticals Inc,ACXP
445,Acxiom Holdngs (delisted),ACXM
446,Adamas Pharmaceuticals Inc,ADMS
447,"Adams Golf, Inc. (MM)",ADGF
448,AdaptHealth Corporation,AHCO
449,Adc Telecommunications  (MM),ADCTD
450,Addus HomeCare Corp,ADUS
451,"Adept Technology, (MM)",ADTK
452,Adeza Biomedical (MM),ADZA
453,Adicet Bio Inc,ACET
454,Adobe Inc,ADBE
455,Adstar Wts 12/16/2004 (MM),ADSTW
456,Advance Finl Bancorp (MM),AFBC
457,"Advanced Analogic Technologies, Inc. (MM)",AATI
458,Advanced Digital Information (MM),ADIC
459,Advanced Energy Industries Inc,AEIS
460,Advanced Fibre Communications (MM),AFCI
461,Advanced Micro Devices Inc,AMD
462,Advancis Pharmaceutical  (MM),AVNC
463,Advanta Corp Class B (MM),ADVNB
464,Advaxis - Warrants (delisted),ADXSW
465,Advent Technologies Holdings Inc,ADN
466,Advisorshares Yieldpro Etf,YPRO
467,Aegion Corporation,AEGN
468,Aehr Test Systems,AEHR
469,Aep Industries Inc.,AEPI
470,AerSale Corporation,ASLE
471,Aero Grow Intl (MM),AEROE
472,Aeroflex Inc. (MM),ARXX
473,Aerpio Pharmaceuticals Inc,ARPO
474,Aether,AETH
475,Aevi Genomic Medicine Inc,GNMX
476,Affinity Bancshares Inc,AFBI
477,"Affymetrix, Inc.",AFFX
478,Aga Medical Holdings Com (MM),AGAM
479,Agenus Inc. (MM),AGEND
480,Agile Therapeutics Inc,AGRX
481,Agilysys Inc,AGYS
482,Agnico-Eagle Mines Ltd (MM),AEMLW
483,Agrico Acquisition Corporation,RICO
484,AgroFresh Solutions Inc,AGFS
485,Aimmune Therapeutics Inc,AIMT
486,Air T Inc,AIRT
487,Air Transport Services Group Inc,ATSG
488,Airbnb Inc,ABNB
489,"Airmedia Grp. ADS, Each Representing Two Ordinary Shares (MM)",AMCN
490,Airspan Networks (MM),AIRN
491,Akamai Technologies Inc,AKAM
492,Akcea Therapeutics Inc,AKCA
493,Akeena Solar (MM),AKNS
494,Akerna Corporation,KERN
495,Akers Biosciences Inc,AKER
496,Akouos Inc,AKUS
497,Akoya BioSciences Inc,AKYA
498,Alabama Aircraft Industr (MM),AAII
499,Aladdin Knowledge Systems Ltd (MM),ALDN
500,Alanco Technologies Inc. (MM),ALAND
501,Alaska Communications Systems Group Inc,ALSK
502,"Albemarle First Bank (Charlottesville, VA)  (MM)",AFBK
503,Alberton Acquisition Corporation,ALAC
504,Alcentra Capital Corporation,ABDC
505,Alder BioPharmaceuticals Inc,ALDR
506,Alector Inc,ALEC
507,Alexion Pharmaceuticals Inc,ALXN
508,Alico Inc,ALCO
509,Alignment Healthcare Inc,ALHC
510,Alimera Sciences Inc,ALIM
511,Alkaline Water Company Inc,WTER
512,Alkermes Plc,ALKS
513,Alkuri Global Acquisition Corporation,KURI
514,Allegiance Bancshares Inc,ABTX
515,Allegiant Travel Company,ALGT
516,Allegro MicroSystems Inc,ALGM
517,Alliance Bancorp of Pennsylvania (MM),ALLBD
518,Alliance Fiber Optic Products (MM),AFOPD
519,Alliance Financial Corp. (MM),ALNC
520,Alliant Energy Corporation,LNT
521,Allied Healthcare International Inc. (MM),AHCI
522,Allied Motion Technologies Inc,AMOT
523,"Alliqua Biomedical, Inc.",ALQA
524,Allogene Therapeutics Inc,ALLO
525,Allot Ltd,ALLT
526,Alloy (MM),ALOY
527,Allscripts-Misys Healthcare Solutions  (MM),MDRXD
528,Allstream (MM),ALLSB
529,Alnylam Pharmaceuticals Inc,ALNY
530,Alpha Healthcare Acquisition Corporation,AHAC
531,Alpha Partners Technology Merger Corporation,APTM
532,Alpha and Omega Semiconductor Limited,AOSL
533,Alphabet Inc,GOOG
534,Alphatec Holdings Inc,ATEC
535,Alpine Acquisition Corporation,REVE
536,Alset EHome International Inc,AEI
537,AltaBancorp,ALTA
538,Altair Engineering Inc,ALTR
539,Altamira Therapeutics Ltd,CYTO
540,Alteva (MM),WWVY
541,Altimmune Inc,ALT
542,Altisource Portfolio Solutions SA,ASPS
543,Alto Ingredients Inc,ALTO
544,Altra Industrial Motion Corp. (delisted),AIMCV
545,Altus Midstream (delisted),KAACW
546,Altus Midstream Company,ALTM
547,"Alzheon, Inc. (MM)",ALZH
548,Amazon com,AMZN
549,Ambarella Inc,AMBA
550,"Ambassadors International, Inc. (MM)",AMIE
551,Amcomp Incorporated (MM),AMCP
552,Amcore Financial (MM),AMFI
553,Amedisys Inc,AMED
554,Amer First Tax Exempt Inv L.P. (MM),ATAXZ
555,Amerant Bancorp Inc,AMTBB
556,Amerco,UHAL
557,AmeriServ Financial Inc,ASRV
558,American Acces Technologies (MM),AATK
559,American Airlines Group Inc,AAL
560,American Bank (MM),AMBKW
561,"American Capital, Ltd.",ACAS
562,American Commercial Lines (MM),ACLID
563,American Eagle Outfitters  (MM),AEOS
564,American Electric Technologies Inc,AETI
565,American Independence Corp.,AMIC
566,American Learning (MM),AMCE
567,American Mold Guard (MM),AMGI
568,American Mold Guard CL B Wrt (MM),AMGIZ
569,American National Group Inc,ANAT
570,American Outdoor Brands Inc,AOUTV
571,American Pacific Bank - Class B Common Stock (MM),AMPB
572,"American Physicians Capital, Inc. (MM)",ACAP
573,"American Railcar Industries, Inc. (delisted)",ARII
574,American River Bankshares,AMRB
575,American Software Inc,AMSWA
576,American Technology (MM),ATCO
577,American Woodmark Corp,AMWD
578,Americasbank  (MM),AMAB
579,"Ameristar Casinos, Inc. (MM)",ASCA
580,Ames National Corporation,ATLO
581,Amgen Inc,AMGN
582,Amicus Therapeutics Inc,FOLD
583,Amkor Technology Inc,AMKR
584,Ampex Corp Class A (MM),AMPX
585,Amplitech Group Inc,AMPG
586,Amplitude Healthcare Acquisition Corporation,AMHCW
587,Amsurg Corp.,AMSG
588,"Amtrust Financial Services, Inc. (delisted)",AFSI
589,Amyris Inc,AMRS
590,Anadys Pharmaceuticals (MM),ANDS
591,Analogic Corp. (delisted),ALOG
592,Analysts International Corp. (MM),ANLY
593,"Anaren, Inc. (MM)",ANEN
594,Ancestry.Com Inc. (MM),ACOM
595,Anchor Bancorp Wisconsin Inc.,ABCW
596,Andersons Inc,ANDE
597,Andrew Corp (MM),ANDW
598,Anebulo Pharmaceuticals Inc,ANEB
599,Angel Oak Fds TR High Yield Opportunities FD Instl Cl (MM),RAIHX
600,AngioDynamics Inc,ANGO
601,Angiotech Pharmaceuticals - Common Shares (MM),ANPI
602,Anika Therapeutics Inc,ANIK
603,Annapolis Bancorp Inc. (MM),ANNB
604,Anormed Ord (MM),ANOR
605,Ansoft Corp (MM),ANST
606,Antares Pharma Inc,ATRS
607,Anterix Inc,ATEX
608,Anzu Special Acquisition Corporation I,ANZU
609,Apex Global Brands Inc,APEX
610,Apex Technology Acquisition Corporation,APXTU
611,Aphton  (MM),APHT
612,Apigee Corp. (MM),APIC
613,"Apollo Education Grp., Inc.",APOL
614,Apollo Grp. (MM),UOPX
615,Apollo Medical Holdings Inc,AMEH
616,AppFolio Inc,APPF
617,Appian Corporation,APPN
618,Appliance Recycling Centers of America,ARCI
619,Applied Digital Solutions  (MM),ADSX
620,Applied Extrusion (MM),AETC
621,Applied Imaging  (MM),AICXD
622,Applied Materials Inc,AMAT
623,Applied Micro Circuits Corp.,AMCC
624,Applied Molecular Transport Inc,AMTI
625,"Applied Signal Technology, Inc. (MM)",APSG
626,Applied UV Inc,AUVI
627,Applovin Corporation,APP
628,"Apptio, Inc.",APTI
629,Apria Inc,APR
630,Apropos Technology - Common Shares (MM),APRS
631,Aptinyx Inc,APTX
632,Aptose Biosciences Inc,APTO
633,Aqua Metals Inc,AQMS
634,Aquantive (MM),AQNT
635,Aquinox Pharmaceuticals Inc,AQXP
636,"Aratana Therapeutics, Inc.",PETX
637,Aravive Inc,ARAV
638,Arbinet Corp. (MM),ARBX
639,Arborgen (MM),ARBR
640,"Arc Grp. Worldwide, Inc.",ARCW
641,ArcBest Corporation,ARCB
642,ArcLight Clean Transition Corporation II,ACTD
643,Arch Capital Group Ltd,ACGL
644,"Archipelago Learning, Inc. (MM)",ARCL
645,Arcimoto Inc,FUV
646,Arctic Cat Inc.,ACAT
647,Arcutis Biotherapeutics Inc,ARQT
648,Ardelyx Inc,ARDX
649,Arel Communications & Software Ltd.  (MM),ARLC
650,Ares Capital Corp (MM),ARCCR
651,Argo Grp. International Holdings Ltd.  (MM),AGIID
652,"Ari Network Services, Inc. (MM)",ARIS
653,Ariba  (MM),ARBAD
654,Aridis Pharmaceuticals Inc,ARDS
655,Aries Maritime Transport Limited - Common Shares (MM),RAMS
656,Arm Holdings Plc ADS Each Representing 3 Ordinary Shares (MM),ARMH
657,"Armo Biosciences, Inc. (delisted)",ARMO
658,Arotech Corporation,ARTXD
659,Arowana Inc. - Rights,ARWAR
660,Arqit Quantum Inc,ARQQ
661,Arris International Plc - Ordinary Shares,ARRS
662,Arrow Financial Corporation,AROW
663,Arrow-Magnolia Intl (MM),ARWM
664,Arrowhead Research (MM),ARWRW
665,Arrowroot Acquisition Corporation,ARRW
666,"Art Technology Grp., Inc. (MM)",ARTG
667,Artes Medical (MM),ARTE
668,Artesyn Technologies  (MM),ATSN
669,Artisan Acquisition Corporation,ARTA
670,Artius Acquisition Inc,AACQ
671,Arvinas Inc,ARVN
672,Asat Holdings Limited ADS (MM),ASTTD
673,Asb Financial  (MM),ASBP
674,Ascent Capital Grp. - Series A,ASCMA
